0,1,2
0.9994,-1.9254,-0.7736
0.1841,0.0261,0.8399
-0.0474,-1.6492,-0.7153
-1.1145,1.0217,0.1939
-0.2655,2.206,-0.9104
-0.068,-0.5244,-1.6397
-1.124,-1.2745,0.9074
1.0771,0.2828,-0.2823
-0.5754,0.9643,0.0336
0.8504,1.3825,1.6062
1.0288,0.6289,1.4515
-0.2432,-2.4991,-0.5158
0.64,-1.6834,0.9099
0.0186,2.581,-0.3837
-1.2865,-1.479,1.6793
-1.4617,0.3018,-0.0265
0.2422,0.3695,0.8608
0.0422,-1.4674,-0.6323
-1.0138,-1.5358,0.4322
-1.3863,-0.6919,2.1179
-0.2663,-1.3089,0.4509
-0.52,-0.3577,0.3785
1.0642,0.5536,-0.049
0.1286,-0.223,-0.0593
0.9833,0.0981,-2.4103
0.5786,-1.2091,0.4586
0.1469,0.3605,1.7211
0.4237,0.0042,-1.3594
-1.3362,1.6781,-0.9128
0.4629,-2.7018,0.5785
-0.9857,0.2389,-1.9849
-1.1068,-1.2706,1.9009
-0.5543,-0.9179,-0.993
0.6198,-0.4132,1.6886
-0.0858,-2.0001,-0.0514
0.8938,-0.4395,1.7827
-1.0713,1.0282,-0.5391
-0.7412,1.4316,0.8068
-0.2135,-1.2396,-1.0823
-0.5998,1.1489,-0.6372
-0.2779,-1.3203,0.1166
0.1245,0.3917,0.6656
-0.535,0.8772,-0.6969
-1.9663,-0.2542,2.0607
-0.2052,-0.9293,-0.3995
0.1057,-0.115,0.009
-0.4053,0.4296,-0.1157
-0.4671,-0.5194,-0.8039
0.8353,0.3758,-1.3707
0.0574,-0.7419,1.1177
