0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.8622,0.6023,0.5893,0.6198,0.8712,0.9204,0.7622,0.6474,0.628,0.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8679,0.7386,0.551,0.805,0.5949,0.9859,0.6529,0.9048,0.9967,0.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.5539,0.562,0.9878,0.8047,0.6153,0.6803,0.9759,0.8462,0.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7684,0.6594,0.8645,0.8398,0.7628,0.7241,0.8626,0.7853,0.7198,0.8507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8051,0.8302,0.8245,0.6076,0.9413,0.8931,0.7777,0.9941,0.8605,0.8431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5556,0.6139,0.9414,0.8517,0.9131,0.9681,0.5894,0.7108,0.6366,0.8697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5621,0.5269,0.8,0.7455,0.9029,0.563,0.5271,0.7381,0.8658,0.7037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9776,0.8771,0.7476,0.7935,0.8108,0.7179,0.5573,0.9738,0.7069,0.7331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6497,0.5804,0.8325,0.5536,0.9274,0.9843,0.7982,0.6821,0.7984,0.6983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7212,0.6836,0.5254,0.5457,0.9776,0.5285,0.9472,0.9814,0.6501,0.9638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8546,0.7531,0.8661,0.7176,0.5984,0.9082,0.7397,0.5011,0.5752,0.5471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.83,0.8736,0.8,0.9308,0.5115,0.9492,0.664,0.5427,0.9589,0.9365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9641,0.7735,0.8005,0.7116,0.9752,0.7166,0.5772,0.9002,0.5905,0.5722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6444,0.5557,0.5321,0.8987,0.6212,0.7796,0.5825,0.6361,0.8146,0.8016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6625,0.6811,0.5685,0.7402,0.5644,0.5109,0.769,0.6461,0.5021,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6392,0.9056,0.9139,0.8732,0.9963,0.7601,0.5946,0.6174,0.975,0.5831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6727,0.8769,0.5124,0.6934,0.6068,0.8553,0.7041,0.5331,0.9172,0.5916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9363,0.9452,0.7181,0.898,0.707,0.5648,0.9826,0.9845,0.5956,0.7917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5057,0.6231,0.8257,0.8201,0.9041,0.7979,0.8433,0.8444,0.7484,0.5143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.841,0.656,0.7546,0.7086,0.6004,0.7596,0.9597,0.9869,0.5045,0.8627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8143,0.7748,0.5411,0.7374,0.5885,0.7644,0.8803,0.6045,0.929,0.9885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9825,0.6229,0.5622,0.8924,0.7962,0.6723,0.8352,0.9696,0.5599,0.8299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8966,0.7275,0.8653,0.5856,0.6359,0.9532,0.8883,0.9694,0.5988,0.8767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6946,0.7246,0.7255,0.9681,0.6077,0.6024,0.7412,0.8459,0.6311,0.9077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6889,0.505,0.5779,0.6929,0.5572,0.768,0.7792,0.9215,0.9033,0.5004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5127,0.8443,0.6074,0.5478,0.7667,0.7217,0.9175,0.6965,0.9396,0.7094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8746,0.983,0.6043,0.9782,0.6632,0.5837,0.6197,0.876,0.8638,0.9413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5175,0.7741,0.7431,0.5576,0.8783,0.509,0.6931,0.7701,0.84,0.6247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6744,0.5492,0.8159,0.638,0.8966,0.7734,0.6425,0.599,0.5053,0.9707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6912,0.8321,0.959,0.5704,0.6468,0.7418,0.696,0.9633,0.7319,0.8013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9407,0.6869,0.8953,0.5147,0.6166,0.6145,0.621,0.783,0.9685,0.8746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9362,0.7159,0.5915,0.5995,0.9294,0.7676,0.5231,0.7294,0.9426,0.5134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6393,0.8762,0.7348,0.6668,0.598,0.9611,0.7267,0.7343,0.8038,0.5246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8853,0.9844,0.8856,0.7249,0.5741,0.908,0.7661,0.8682,0.7987,0.5411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5867,0.631,0.9749,0.8744,0.8219,0.8684,0.9257,0.5888,0.8003,0.9109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6217,0.5198,0.9327,0.9567,0.7697,0.9234,0.5701,0.5259,0.5789,0.9852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8282,0.9463,0.7935,0.7655,0.5927,0.8809,0.5759,0.95,0.8276,0.5802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7284,0.5515,0.7327,0.6616,0.5623,0.5669,0.6322,0.5454,0.5596,0.6252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8823,0.8934,0.8386,0.701,0.6843,0.6647,0.6356,0.775,0.5112,0.5476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5511,0.833,0.6964,0.5064,0.6407,0.798,0.8491,0.9542,0.8197,0.8887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6099,0.5804,0.6489,0.8655,0.5531,0.6199,0.7866,0.9979,0.9551,0.8384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5419,0.6806,0.6628,0.8433,0.951,0.695,0.6408,0.6181,0.7999,0.9894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5316,0.6679,0.6072,0.9291,0.8785,0.9757,0.9646,0.5075,0.6183,0.9919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5587,0.9124,0.8625,0.6295,0.8804,0.899,0.6473,0.6136,0.5867,0.5961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5355,0.9311,0.7171,0.7436,0.6402,0.914,0.6461,0.639,0.9975,0.6366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8928,0.7372,0.7904,0.6412,0.9369,0.6471,0.6498,0.9427,0.8088,0.7248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5062,0.5084,0.9851,0.8182,0.7228,0.6519,0.7728,0.6153,0.9577,0.7496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.935,0.7784,0.8451,0.8275,0.9004,0.5874,0.8223,0.7916,0.887,0.8713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6953,0.6525,0.8978,0.7261,0.6914,0.7931,0.6908,0.5534,0.9463,0.7552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5988,0.7605,0.9235,0.7354,0.644,0.8384,0.8178,0.645,0.5615,0.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
